Name	MOA	Target	Phase
L-778123	farnesyltransferase inhibitor	FNTA, FNTB, PGGT1B	Phase 1
L-798,106	prostanoid receptor antagonist	PTGER3	Preclinical
L-838417	GABA receptor partial agonist	GABRA1, GABRA2, GABRA3, GABRA5	Preclinical
labetalol	adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D, ADRB1, ADRB2	Launched
lacidipine	calcium channel blocker	CACNA1C	Launched
lacitol	osmosis stimulant		Launched
lacosamide	collapsin response mediator protein inhibitor, collapsin response mediator protein stimulant, sodium channel blocker	SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A	Launched
lactulose	laxative		Launched
lafutidine	histamine receptor antagonist	HRH2	Launched
lamivudine	nucleoside reverse transcriptase inhibitor		Launched
lamotrigine	serotonin receptor antagonist, sodium channel blocker	SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A	Launched
lanatoside-c	cardiac glycoside		Preclinical
landiolol	adrenergic receptor antagonist	ADRB1	Launched
lanoconazole	sterol demethylase inhibitor		Launched
lansoprazole	ATPase inhibitor	ATP4A, ATP4B	Launched
lapatinib	EGFR inhibitor	EGFR, ERBB2	Launched
lappaconite	sodium channel blocker		Phase 2
laquinimod	immunosuppressant	CXCL2	Phase 3
laropiprant	prostanoid receptor antagonist	PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGFR, PTGIR, TBXA2R	Launched
lasalocid	bacterial permeability inducer		Launched
lasofoxifene	selective estrogen receptor modulator (SERM)	ESR1, ESR2	Launched
latanoprost	prostanoid receptor agonist	PTGFR	Launched
latrepirdine	glutamate receptor antagonist	HRH1, HTR6	Phase 3
latrunculin-b	actin polymerization inhibitor	ACTA1, MKL1, SPIRE2	Phase 1
lauric-acid	bacterial permeability inducer	GPR84, HNF4A, LTF, LY96, PLA2G2A, TLR4	Phase 3
lauric-diethanolamide			Preclinical
laurocapram			Phase 3
lazabemide	monoamine oxidase inhibitor	MAOB	Phase 3
LB-100	protein phosphatase inhibitor		Phase 1
LB42708	farnesyltransferase inhibitor		Preclinical
LCL-161	XIAP inhibitor	BIRC2, XIAP	Phase 2
LCQ908	diacylglycerol O acyltransferase inhibitor	DGAT1	Phase 3
LCZ696	angiotensin receptor antagonist		Launched
LDC1267	protein tyrosine kinase inhibitor	AXL, MERTK, TYRO3	Preclinical
LDN-209929	haspin kinase inhibitor	GSG2	Preclinical
LDN-212854	bone morphogenic protein inhibitor	ABL1, ACVR1, RIPK2	Preclinical
LDN-27219	tissue transglutaminase inhibitor	TGM2	Preclinical
LDN-57444	ubiquitin C-terminal hydrolase inhibitor		Preclinical
LDN193189	bone morphogenic protein inhibitor	ACVR1, BMPR1A	Preclinical
LE-135	retinoid receptor agonist	RARB	Preclinical
ledipasvir	HCV inhibitor		Launched
leflunomide	dihydroorotate dehydrogenase inhibitor, PDGFR tyrosine kinase receptor inhibitor	AHR, DHODH, PTK2B	Launched
lemborexant	orexin receptor antagonist	HCRTR1, HCRTR2	Phase 3
lenalidomide	anticancer agent	CDH5, CRBN, PTGS2, TNF, TNFSF11	Launched
lenvatinib	FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor	FLT4, KDR	Launched
lercanidipine	calcium channel blocker	CACNA2D1, CACNG1	Launched
lerisetron	serotonin receptor antagonist	HTR3A	Phase 3
lersivirine	non-nucleoside reverse transcriptase inhibitor		Phase 2
lesinurad	uric acid diuretic	SLC22A12	Launched
lestaurtinib	FLT3 inhibitor, growth factor receptor inhibitor, JAK inhibitor	FLT3, NTRK1	Phase 3
leteprinim	nerve growth factor agonist		Phase 2
letermovir	CMV terminase inhibitor		Phase 3
letosteine	mucolytic agent		Launched
letrozole	aromatase inhibitor	CYP19A1	Launched
leucomethylene-blue	nitric oxide production inhibitor, tau aggregation inhibitor	MAPT	Phase 3
leucovorin	folate receptor ligand	TYMS	Launched
leucylleucine-methyl-ester			Phase 2
leuprolide	gonadotropin releasing factor hormone receptor agonist	GNRHR	Launched
levalbuterol	adrenergic receptor agonist	ADRB2	Launched
levallorphan	opioid antagonist	CHRNA2, OPRM1	Launched
levamisole	acetylcholine receptor agonist	ALPL, ALPPL2, CHRNA3	Withdrawn
levcromakalim	potassium channel activator	KCNJ5	Phase 3
levetiracetam	calcium channel blocker	CACNA1B, SCN1A, SV2A	Launched
levo-phencynonate	acetylcholine receptor antagonist	CHRM1	Launched
levobetaxolol	adrenergic receptor antagonist	ADRB1, ADRB2	Launched
levobunolol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3	Launched
levobunolol-(+)	adrenergic receptor antagonist		Preclinical
levobunolol-(+/-)	adrenergic receptor antagonist		Preclinical
levocabastine	histamine receptor antagonist	HRH1, NTSR2	Launched
levocarnitine			Launched
levocarnitine-propionate	carnitine palmitoyltransferase inhibitor	CRAT	Launched
levocetirizine	histamine receptor antagonist	HRH1	Launched
levodopa	dopamine precursor	DRD1, DRD2, DRD3, DRD4, DRD5, GPR143	Launched
levodropropizine	antitussive		Launched
levofloxacin	bacterial DNA gyrase inhibitor	TOP2A	Launched
levomenol			Launched
levomenthol		OPRK1, TRPA1, TRPM8, TRPV3	Launched
levomepromazine	dopamine receptor antagonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR2A, HTR2C	Launched
levomequitazine	histamine receptor antagonist	HRH1	Phase 2
levonordefrin	vasodilator	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, SLC6A2	Launched
levonorgestrel	estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor agonist, progesterone receptor antagonist	AR, ESR1, PGR, SRD5A1	Launched
levopropoxyphene	antitussive	OPRD1, OPRK1, OPRM1	Launched
levosimendan	calcium sensitizer	KCNJ11, KCNJ8, PDE3A, TNNC1	Launched
levosulpiride	dopamine receptor antagonist	CA1, CA12, CA7, DRD2, DRD3	Launched
levothyroxine	thyroid hormone stimulant	THRA, THRB	Launched
LFM-A13	Bruton's tyrosine kinase (BTK) inhibitor	BTK	Preclinical
LGK-974	porcupine inhibitor	PORCN	Phase 2
LGX818	RAF inhibitor	BRAF	Phase 3
LH846	casein kinase inhibitor	CSNK1D	Preclinical
liarozole	cytochrome P450 inhibitor	CYP19A1, CYP26A1	Phase 2/Phase 3
licarbazepine	voltage-gated sodium channel blocker	SCN5A	Phase 3
licochalcone-a	topoisomerase inhibitor	PTPN1	Phase 3
licofelone	cyclooxygenase inhibitor, lipoxygenase inhibitor	ALOX5, PLA2G2E, PTGS2	Phase 3
lidamidine	adrenergic receptor agonist		Launched
lidocaine	histamine receptor agonist	EGFR, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A	Launched
lidoflazine	calcium channel blocker	SCN1A, SCN3A, SLC29A1	Launched
ligustilide	tumor necrosis factor production inhibitor	TNF	Preclinical
limaprost-alfadex	prostanoid receptor agonist	PTGER1	Launched
LIMKi-3	LIM kinase inhibitor	LIMK1	Preclinical
limonin	HIV protease inhibitor		Preclinical
linaclotide	guanylate cyclase activator	GUCY2C	Launched
linagliptin	dipeptidyl peptidase inhibitor	DPP4	Launched
linalool	anticonvulsant		Phase 1
lincomycin	bacterial 30S ribosomal subunit inhibitor		Launched
lindane		GABRB1, GLRA1, GLRA2, GLRA3, GLRB	Launched
linezolid	bacterial 50S ribosomal subunit inhibitor	MAOA, MAOB	Launched
linifanib	PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor	CSF1, CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RET, TEK	Phase 3
linoleic-acid	oxidative stress inducer	FABP4, FFAR1, FFAR4, HNF4A, KCNB1, PPARG, TRPM8	Phase 3
linopirdine	potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5	Phase 3
linsidomine	nitric oxide donor		Launched
linsitinib	IGF-1 inhibitor	IGF1R, INSR, INSRR	Phase 3
liothyronine	thyroid hormone stimulant	THRA, THRB	Launched
liothyronine-(isomer)			Preclinical
lipoamide			Preclinical
liraglutide	GLP receptor agonist	GLP1R	Launched
liranaftate	fungal squalene epoxidase inhibitor		Launched
lirimilast	phosphodiesterase inhibitor		Phase 2
lisadimate	topical sunscreen agent		Launched
lisinopril	angiotensin converting enzyme inhibitor	ACE, ACE2	Launched
lisofylline	interleukin receptor antagonist, STAT inhibitor		Phase 2
lisuride	dopamine receptor agonist	ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR6	Launched
lithium-acetoacetate			Preclinical
lithium-citrate			Launched
lithocholic-acid	FXR antagonist, vitamin D receptor agonist	GPBAR1, NR1H4, NR1I2, VDR	Preclinical
litronesib	kinesin-like spindle protein inhibitor	KIF11	Phase 2
lixivaptan	vasopressin receptor antagonist	AVPR2	Phase 3
LM-22A4	tropomyosin receptor kinase inhibitor	NTRK2	Preclinical
LMI070	survival motor neuron protein modulator	SMN1	Phase 1/Phase 2
LMK-235	HDAC inhibitor	HDAC4, HDAC5	Preclinical
LM11A-31	neurotrophic agent	NGFR	Phase 1
lobeline	acetylcholine receptor antagonist	CHRNA10, CHRNA9, SLC18A2	Launched
lobendazole	anthelmintic agent		Preclinical
lobenzarit	immunosuppressant		Launched
lodoxamide	histamine receptor antagonist		Launched
lofemizole	cyclooxygenase inhibitor		Phase 3
lofepramine	norepinephrine reuptake inhibitor, serotonin–norepinephrine reuptake inhibitor (SNRI)	HTR1A, SLC6A2, SLC6A4	Launched
lofexidine	adrenergic receptor agonist	ADRA2A	Launched
lomefloxacin	bacterial DNA gyrase inhibitor	TOP2A	Launched
lomeguatrib	O6-alkylguanine-DNA alkyltransferase inhibitor	MGMT	Phase 2
lomerizine	calcium channel blocker	CACNA1B, SCN5A	Launched
lometrexol	glycinamide ribonucleotide formyltransferase inhibitor	GART, MTHFD1	Phase 2
lomitapide	microsomal trigylceride transfer protein inhibitor	MTTP	Launched
lomustine	DNA synthesis inhibitor	STMN4	Launched
lonafarnib	farnesyltransferase inhibitor	FNTA, HRAS, KRAS, NRAS	Phase 3
lonidamine	glucokinase inhibitor	GCK	Launched
loperamide	opioid receptor agonist	CACNA1A, CALM1, OPRD1, OPRK1, OPRM1, POMC	Launched
lopinavir	HIV protease inhibitor		Launched
loracarbef	bacterial cell wall synthesis inhibitor		Launched
loratadine	histamine receptor antagonist	HRH1	Launched
lorazepam	benzodiazepine receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO	Launched
lorcaserin	serotonin receptor agonist	HTR2A, HTR2B, HTR2C	Launched
loreclezole	benzodiazepine receptor agonist	GABRB2, GABRB3	Phase 2
lorediplon	GABA receptor modulator	GABRA1	Phase 2
lorglumide	CCK receptor antagonist	CCKAR, CCKBR	Phase 1
lorlatinib	ALK tyrosine kinase receptor inhibitor	ALK	Phase 2
lornoxicam	cyclooxygenase inhibitor	PTGS1, PTGS2	Launched
losartan	angiotensin receptor antagonist	AGTR1	Launched
losmapimod	p38 MAPK inhibitor	MAPK14	Phase 3
loteprednol	glucocorticoid receptor agonist, phospholipase inhibitor	NR3C1	Launched
lovastatin	HMGCR inhibitor	HDAC2, HMGCR, ITGAL, NR1I2	Launched
loxapine	dopamine receptor antagonist, serotonin receptor antagonist	ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR5A, HTR6, HTR7, SLC6A2, SLC6A3, SLC6A4	Launched
loxistatin-acid	cysteine peptidase inhibitor	CTSB	Preclinical
LOXO-101	tropomyosin receptor kinase inhibitor	NTRK1, NTRK2, NTRK3	Phase 2
loxoprofen	cyclooxygenase inhibitor, prostanoid receptor antagonist	PTGS2	Launched
LPA2-antagonist-1	lysophosphatidic acid receptor antagonist	LPAR2	Preclinical
LRRK2-IN-1	leucine rich repeat kinase inhibitor	LRRK2	Preclinical
LSN-2463359	glutamate receptor positive allosteric modulator	GRM5	Preclinical
LTA			Phase 2
LTB4	leukocyte activator	LTB4R, LTB4R2	Phase 2
Lu-AA-47070	adenosine receptor antagonist	ADORA2A	Phase 2
lubiprostone	chloride channel activator	CLCN2	Launched
lucitanib	FGFR inhibitor, VEGFR inhibitor	FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET	Phase 2
LUF-5834	adenosine receptor agonist	ADORA2A, ADORA2B	Preclinical
lufenuron	chitin inhibitor		Launched
luliconazole	sterol demethylase inhibitor		Launched
lumacaftor	CFTR channel agonist	CFTR	Launched
lumateperone	serotonin receptor antagonist, dopamine receptor modulator	DRD2, HTR2A	Phase 3
lumefantrine	antimalarial agent	ATP1A1	Launched
lumiracoxib	cyclooxygenase inhibitor	PTGS1, PTGS2	Withdrawn
lupanine	sodium channel blocker	INS	Phase 1
lurasidone	dopamine receptor antagonist, serotonin receptor antagonist	ADRA2A, ADRA2C, DRD2, HTR1A, HTR2A, HTR7	Launched
lutein	antioxidant		Launched
luteolin	glucosidase inhibitor	TOP1	Phase 2
luzindole	melatonin receptor antagonist	MTNR1A, MTNR1B	Preclinical
LXR-623	LXR agonist	AR, NR1H2, NR1H3, NR1I2, NR3C1	Phase 1
LX1031	tryptophan hydroxylase inhibitor	TPH1	Phase 2
LX7101	LIM kinase inhibitor, rho associated kinase inhibitor	LIMK2, ROCK1, ROCK2	Phase 1/Phase 2
LY-404187	glutamate receptor positive allosteric modulator	GRIA1, GRIA2, GRIA3, GRIA4	Preclinical
lycopene	free radical scavenger		Phase 3
lylamine	cannabinoid receptor agonist	CNR1	Preclinical
lymecycline	bacterial 50S ribosomal subunit inhibitor		Launched
lynestrenol	progestogen hormone		Launched
lypressin	vasopressin receptor agonist	AVPR1A, AVPR1B, AVPR2	Launched
LY2090314	glycogen synthase kinase inhibitor	GSK3B	Phase 2
LY2109761	TGF beta receptor inhibitor	TGFBR1, TGFBR2	Preclinical
LY2140023	glutamate receptor agonist	GRM3	Phase 3
LY215490	glutamate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4, GRIK1	Phase 1
LY2157299	TGF beta receptor inhibitor	TGFBR1	Phase 2/Phase 3
LY2183240	FAAH inhibitor, FAAH reuptake inhibitor	FAAH	Preclinical
LY2228820	p38 MAPK inhibitor	MAPK14	Phase 2
LY223982	leukotriene receptor antagonist	LTB4R	Phase 2
LY225910	CCK receptor antagonist	CCKBR	Preclinical
LY231617	lipid peroxidase inhibitor		Preclinical
LY2334737	antitumor agent, ribonucleotide reductase inhibitor		Phase 1
LY2365109	Glycine transporter 1 inhibitor	SLC6A9	Preclinical
LY2452473	androgen receptor modulator	AR	Phase 2
LY255283	leukotriene receptor antagonist	LTB4R, LTB4R2	Preclinical
LY2584702	ribosomal protein inhibitor	RPS6KB1	Phase 1
LY2603618	CHK inhibitor	CHEK1	Phase 2
LY2606368	CHK inhibitor	CHEK1	Phase 2
LY2608204	glucokinase activator	GCK	Phase 2
LY266097	serotonin receptor antagonist	HTR2B	Preclinical
LY2784544	JAK inhibitor	JAK2, JAK3	Phase 2
LY2801653	MET inhibitor	MET	Phase 2
LY2811376	beta-secretase inhibitor	BACE1	Phase 1
LY2857785	CDK inhibitor	CDK9	Preclinical
LY2874455	FGFR antagonist	FGFR1, FGFR2, FGFR3, FGFR4, KDR	Phase 1
LY288513	CCK receptor antagonist	CCKBR	Preclinical
LY2886721	beta-secretase inhibitor	BACE1	Phase 1/Phase 2
LY294002	mTOR inhibitor, PI3K inhibitor, DNA dependent protein kinase inhibitor, phosphodiesterase inhibitor, PLK inhibitor	AKT1, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PLK1, PRKCA, PRKDC, ROCK1, RPS6KB1, SGK1	Preclinical
LY2979165	glutamate receptor agonist	GRM2	Phase 1
LY3000328	cathepsin inhibitor	CTSS	Phase 1
LY3009120	RAF inhibitor	BRAF, RAF1	Phase 1
LY3023414	PI3K inhibitor, mTOR inhibitor	MTOR	Phase 2
LY303511	casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor	BRD2, BRD3, BRD4	Preclinical
LY310762	serotonin receptor antagonist	HTR1D	Preclinical
LY320135	cannabinoid receptor antagonist	CNR1	Preclinical
LY344864	serotonin receptor agonist	HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR7	Preclinical
LY364947	TGF beta receptor inhibitor, p38 MAPK inhibitor	TGFBR1	Preclinical
LY393558	serotonin receptor antagonist	HTR1B, HTR1D, HTR2A, HTR2B	Preclinical
LY411575	gamma secretase inhibitor		Preclinical
LY450108	glutamate receptor modulator		Phase 1
LY456236	glutamate receptor antagonist	GRM1	Preclinical
m-Chlorophenylbiguanide		HTR3A, HTR3B	Preclinical
m-THP			Phase 1
M-14157	ATP-sensitive potassium channel antagonist	KCNQ1	Phase 2
M-25	smoothened receptor antagonist	DHH, IHH, SMO	Preclinical
m-3M3FBS		PLCB2, PLCB3, PLCD1, PLCG1, PLCG2	Preclinical
M-344	HDAC inhibitor		Preclinical
mabuprofen	cyclooxygenase inhibitor		Launched
mabuterol	adrenergic receptor agonist	ADRB2	Launched
macelignan	antioxidant, antiinflammatory agent		Preclinical
macitentan	endothelin receptor antagonist	EDNRA, EDNRB	Launched
madrasin	cell splicing inhibitor		Preclinical
mafenide	carbonic anhydrase inhibitor	CA12, CA14, CA2, CA4, CA6, CA9	Launched
magnolol	PPAR receptor agonist	GABRA1, PPARG	Preclinical
malathion	cholinesterase inhibitor	ACHE, BCHE	Launched
malic-acid		CS, ME2, PKD2L1	Launched
malotilate	protein synthesis stimulant		Launched
maltobionic-acid	matrix metalloprotease inhibitor		Launched
mandelic-acid			Launched
mangafodipir	contrast agent		Launched
manidipine	calcium channel blocker	CACNA1C, CACNA1D	Launched
mannitol-D	diuretic		Launched
maprotiline	norepinephrine reputake inhibitor, tricyclic antidepressant	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR2A, HTR2C, HTR7, SLC6A2	Launched
maraviroc	CC chemokine receptor antagonist	CCR5	Launched
marbofloxacin	bacterial DNA gyrase inhibitor		Launched
maribavir	cytomegalovirus inhibitor, protein kinase inhibitor	PYGM	Phase 3
marimastat	matrix metalloprotease inhibitor	MMP1, MMP10, MMP11, MMP12, MMP13, MMP14, MMP15, MMP16, MMP17, MMP19, MMP2, MMP20, MMP21, MMP23A, MMP24, MMP25, MMP26, MMP27, MMP28, MMP3, MMP7, MMP8, MMP9	Phase 3
maropitant	neurokinin receptor antagonist	TACR1	Launched
masitinib	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor	FGFR3, KIT, PDGFRA, PDGFRB	Launched
masoprocol	lipoxygenase inhibitor	ALOX5	Launched
matrine	opioid receptor agonist	OPRK1	Phase 2
mavoglurant	glutamate receptor antagonist	GRM5	Phase 2
maxacalcitol	vitamin D receptor agonist	VDR	Launched
maytansinol-isobutyrate			Preclinical
mazindol	dopamine reuptake inhibitor, selective serotonin reuptake inhibitor (SSRI)	SLC6A2, SLC6A3, SLC6A4	Launched
MBX-2982	glucose dependent insulinotropic receptor agonist	GPR119	Phase 2
MC-1		AADAT, ABAT, AGXT, AGXT2, ALAS1, AZIN2, BCAT1, BCAT2, CBS, CCBL1, CCBL2, CSAD, CTH, DDC, FTCD, GAD1, GAD2, GADL1, GCAT, GLDC, GOT1, GOT2, GPT, GPT2, HDC, IGSF10, KYNU, MOCOS, NFS1, OAT, ODC1, PDXDC1, PDXP, PHYKPL, PNPO, PROSC, PSAT1, PYGB, PYGL, PYGM, SCLY, SDS, SDSL, SEPSECS, SGPL1, SHMT1, SHMT2, SPTLC1, SPTLC2, SPTLC3, SRR, TAT, THNSL1	Phase 3
MCC950	NOD like receptor inhibitor	NLRP3	Preclinical
McN-5652-(+/-)	selective serotonin reuptake inhibitor (SSRI)		Preclinical
MCOPPB	nociceptin/orphanin FQ (NOP) receptor agonist	OPRL1	Preclinical
mCPP	serotonin receptor agonist	HTR1A, HTR1D, HTR1E, HTR2A, HTR2B, HTR2C, HTR6	Phase 2
MC1568	HDAC inhibitor	HDAC2	Preclinical
MD-920	NFkB pathway inhibitor	AADACL2	Phase 1
mdivi-1	dynamin inhibitor	DNM1	Preclinical
MDL-11939	serotonin receptor antagonist	HTR2A, HTR2B, HTR2C	Phase 2
MDL-27531	glycine receptor agonist		Preclinical
MDL-29951	glutamate receptor antagonist	FBP1	Preclinical
MDL-72832	serotonin receptor agonist	HTR1A	Preclinical
MDL-73005EF	serotonin receptor antagonist	HTR1A	Phase 1
MDMS	DNA inhibitor		Phase 2
ME-0328	PPAR receptor antagonist	PARP3	Preclinical
mebendazole	tubulin polymerization inhibitor	TUBA1A, TUBB, TUBB4B	Launched
mebeverine	acetylcholine receptor antagonist	CHRM1	Launched
mebhydrolin	antihistamine		Launched
mebhydroline-1,5-naphtalenedisulfonate			Preclinical
mebicar	anxiolytic		Launched
mebrofenin			Launched
mecamylamine	acetylcholine receptor antagonist	CHRNA1, CHRNA2, CHRNA3, CHRNA4, CHRNA6, CHRNA7	Launched
mecarbinate			Preclinical
mechlorethamine	DNA inhibitor		Launched
meclinertant	neurotensin receptor antagonist	NTSR1, NTSR2	Phase 2/Phase 3
meclizine	constitutive androstane receptor (CAR) agonist	HRH1, NR1I3	Launched
meclocycline-sulfosalicylate	bacterial 50S ribosomal subunit inhibitor		Launched
meclofenamic-acid	cyclooxygenase inhibitor, prostanoid receptor antagonist	ALOX5, CNR1, KCNQ2, KCNQ3, PTGS1, PTGS2	Launched
meclofenoxate	nootropic agent		Launched
mecysteine	analgesic agent		Launched
medetomidine	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C	Launched
medica-16	ATP citrase lyase inhibitor	FFAR1	Phase 2
medorinone			Phase 1
medronic-acid	bone resorption inhibitor		Launched
medroxyprogesterone	progesterone receptor agonist	ESR1, PGR	Launched
medroxyprogesterone-acetate	progesterone receptor agonist		Launched
medrysone	glucocorticoid receptor agonist	NR3C1	Launched
mefenamic-acid	cyclooxygenase inhibitor	KCNQ1, PTGS1, PTGS2, TRPM3	Launched
mefexamide	psychoactive drug		Preclinical
mefloquine	adenosine receptor antagonist, hemoglobin antagonist	ADORA2A, HBA1	Launched
megestrol-acetate	progesterone receptor agonist	NR3C1, PGR	Launched
meglitinide	potassium channel blocker	CCR2	Phase 2
meglumine	excipient		Launched
meglutol	HMGCR inhibitor	HMGCR	Launched
meisoindigo	STAT inhibitor	STAT3	Phase 3
MEK1-2-inhibitor	MEK inhibitor	MAP2K2	Preclinical
MEK162	MEK inhibitor	MAP2K1, MAP2K2	Phase 3
melatonin	melatonin receptor agonist, nitric oxide synthase inhibitor	ASMT, CALM1, CALR, EPX, ESR1, HTR2B, MPO, MTNR1A, MTNR1B, NQO2, RORB	Launched
meldonium	gamma butyrobetaine hydroxylase inhibitor	BBOX1	Launched
melengestrol-acetate	progesterone receptor agonist		Preclinical
melevodopa	dopamine precursor, dopamine receptor agonist	DDC	Launched
meloxicam	cyclooxygenase inhibitor	PTGS1, PTGS2	Launched
melperone	dopamine receptor antagonist, serotonin receptor antagonist	DRD2, HTR2A	Launched
melphalan	DNA alkylating agent, DNA inhibitor		Launched
melphalan-n-oxide	hypoxia inducible factor inhibitor	HIF1A	Phase 1
meluadrine			Preclinical
memantine	glutamate receptor antagonist	CHRFAM7A, DRD2, GRIN1, GRIN2A, GRIN2B, GRIN3A, HTR3A	Launched
menadione	mitochondrial DNA polymerase inhibitor, phosphatase inhibitor	AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PROC, PROS1, PROZ, VKORC1, VKORC1L1	Launched
menadione-bisulfite	vitamin K	GGCX, VKORC1, VKORC1L1	Phase 2
menatetrenone	bone resorption inhibitor		Launched
menbutone			Launched
mepacrine	cytokine production inhibitor, NFkB pathway inhibitor, TP53 activator	PLA2G1B, PLA2G4A, PLA2G6, PLCL1	Launched
meparfylon			Preclinical
mepazine	MALT1 inhibitor (JH)	MALT1	Phase 2
mepenzolate	acetylcholine receptor antagonist	CHRM1, CHRM3	Launched
mephenesin	muscle relaxant		Launched
mephentermine	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3	Launched
mephenytoin	hydantoin antiepileptic	SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A	Launched
mepiroxol			Preclinical
mepivacaine	potassium channel blocker, sodium channel blocker	SCN10A	Launched
meprednisone		NR3C1	Launched
meprobamate		GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	Launched
meprylcaine	local anesthetic		Preclinical
meptazinol	opioid receptor agonist	BCHE	Launched
mepyramine	histamine receptor antagonist	HRH1	Launched
mequinol		TYR	Launched
merbarone	topoisomerase inhibitor	TOP2A	Phase 2
merbromin	antiseptic		Launched
mercaptopurine	immunosuppressant, protein synthesis inhibitor, purine antagonist	HPRT1, IMPDH1, IMPDH2, PPAT	Launched
mercaptosuccinic-acid			Launched
mericitabine	HCV inhibitor		Phase 2
merimepodib	inosine monophosphate dehydrogenase inhibitor	IMPDH1	Phase 2
meropenem	bacterial cell wall synthesis inhibitor		Launched
mesalazine	cyclooxygenase inhibitor, lipoxygenase inhibitor, prostanoid receptor antagonist	ALOX5, CHUK, IKBKB, MPO, PPARG, PTGS1, PTGS2	Launched
mesna	antioxidant		Launched
mesoridazine	dopamine receptor antagonist	DRD2, HTR2A	Launched
mestinon	cholinesterase inhibitor	ACHE, BCHE	Launched
mestranol	estrogen receptor agonist	ESR1	Launched
mesulergine	dopamine receptor agonist	HTR2A, HTR2B, HTR2C, HTR3A, HTR3B, HTR6, HTR7	Phase 2
meta-cresyl-acetate			Preclinical
metacetamol	analgesic agent		Preclinical
metacresol		INS	Launched
metafolin		AMT	Launched
metamizole	cyclooxygenase inhibitor, opioid receptor agonist	PTGS1	Withdrawn
metaphit	phencyclidine receptor acylator		Preclinical
metaproterenol	adrenergic receptor agonist	ADRB2	Launched
metaraminol	adrenergic receptor agonist	ADRA1A	Launched
metatinib	Bcr-Abl kinase inhibitor	ABL1, BCR	Phase 1
metaxalone	muscle relaxant		Launched
metazosin	adrenergic receptor antagonist	ADRA1A	Phase 2
metenkephalin	immunostimulant	OPRD1	Phase 2
metergoline	dopamine receptor agonist, serotonin receptor antagonist	HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Launched
metformin	insulin sensitizer	ACACB, PRKAB1	Launched
methacholine	acetylcholine receptor agonist	CHRM2, CHRM3, CHRM4	Launched
methacycline	protein synthesis inhibitor		Launched
