genes,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4,smB_S2R1,smB_S2R2,smB_S2R3
ENSG00000204450,0,0,0,0,0,0,0
ENSG00000204455,0,0,0,0,0,0,0
ENSG00000204456,0,0,0,0,0,0,0
ENSG00000204460,0,0,0,0,0,0,0
ENSG00000204463,1107,879,595,763,986,608,579
ENSG00000204464,0,0,0,0,0,0,0
ENSG00000204469,737,532,403,616,558,372,195
ENSG00000204471,0,0,0,0,0,0,0
ENSG00000204472,25,21,104,75,50,36,93
ENSG00000204475,302,280,531,244,361,587,509
ENSG00000204478,0,0,0,0,0,0,0
ENSG00000204479,0,0,0,0,0,0,0
ENSG00000204480,0,0,0,0,0,0,0
ENSG00000204481,0,0,0,0,0,0,0
ENSG00000204482,37,51,97,63,37,64,92
ENSG00000204498,104,24,38,56,89,81,60
ENSG00000204501,0,0,0,0,0,0,0
ENSG00000204505,0,0,0,0,0,0,0
ENSG00000204510,0,0,0,0,0,0,0
ENSG00000204511,0,0,0,0,0,0,0
ENSG00000204514,340,343,219,250,450,375,345
ENSG00000204516,354,333,370,265,349,180,267
ENSG00000204518,0,0,0,0,0,0,0
ENSG00000204519,182,191,228,243,507,297,285
ENSG00000204520,70,220,61,113,80,68,49
ENSG00000204524,586,497,286,394,620,191,398
ENSG00000204525,11592,9956,12338,15598,7285,6700,10472
ENSG00000204528,7,0,5,5,4,0,8
ENSG00000204529,0,0,0,0,0,0,0
ENSG00000204531,1,9,1,0,1,0,5
ENSG00000204532,0,0,0,2,0,1,0
ENSG00000204536,275,210,208,173,261,242,153
ENSG00000204538,0,0,0,0,0,0,0
ENSG00000204539,0,0,0,0,0,0,0
ENSG00000204540,1,0,0,0,0,0,0
ENSG00000204542,0,0,0,0,0,0,0
ENSG00000204544,0,0,0,0,0,0,0
ENSG00000204547,0,0,0,0,0,0,0
ENSG00000204548,0,0,0,0,0,0,0
ENSG00000204555,0,0,0,0,0,0,0
ENSG00000204556,0,0,0,0,0,1,0
ENSG00000204560,1138,770,780,683,882,655,875
ENSG00000204564,180,252,214,117,105,129,136
ENSG00000204568,742,483,1346,846,670,745,1060
ENSG00000204569,1219,1023,920,997,1109,788,792
ENSG00000204571,0,1,0,2,0,0,0
ENSG00000204572,0,0,0,0,0,0,0
ENSG00000204574,1091,805,844,827,920,382,795
ENSG00000204576,172,195,110,152,155,143,168
ENSG00000204577,91,92,202,271,89,50,204
ENSG00000204580,213,126,93,186,101,102,115
ENSG00000204581,0,16,0,0,0,0,0
ENSG00000204583,0,0,0,0,0,0,0
ENSG00000204584,19,3,33,15,35,12,73
ENSG00000204588,0,0,0,0,0,0,0
ENSG00000204590,880,350,438,640,790,247,423
ENSG00000204592,41729,35298,38543,35385,33481,49073,35755
ENSG00000204595,0,0,0,0,0,0,0
ENSG00000204599,290,143,181,260,287,228,183
ENSG00000204603,0,0,0,0,0,0,0
ENSG00000204604,584,540,467,337,644,923,454
ENSG00000204610,0,0,0,0,0,0,0
ENSG00000204611,226,107,63,110,125,62,160
ENSG00000204612,0,0,0,0,0,0,0
ENSG00000204613,24,0,0,3,11,6,0
ENSG00000204614,0,0,0,0,0,0,0
ENSG00000204616,0,0,0,0,0,0,0
ENSG00000204618,0,0,0,0,3,2,0
ENSG00000204619,978,835,817,988,613,694,679
ENSG00000204620,18,6,1,6,5,7,7
ENSG00000204622,13,12,20,12,7,3,12
ENSG00000204623,336,228,153,150,175,170,227
ENSG00000204624,9,28,10,3,46,0,0
ENSG00000204625,0,0,0,0,0,0,0
ENSG00000204628,9735,10185,15879,12062,7850,11127,13413
ENSG00000204632,76,111,137,135,80,98,173
ENSG00000204634,154,58,36,137,199,104,200
ENSG00000204637,0,0,0,0,0,0,0
ENSG00000204640,0,0,0,0,0,0,0
ENSG00000204642,2077,1527,1791,2027,1489,2020,1774
ENSG00000204644,13,0,31,0,25,0,59
ENSG00000204648,0,0,0,0,0,0,0
ENSG00000204650,256,92,197,103,249,205,184
ENSG00000204652,0,0,0,0,0,0,0
ENSG00000204653,7,0,0,3,1,0,1
ENSG00000204655,0,0,0,0,0,0,0
ENSG00000204657,0,0,0,0,0,0,0
ENSG00000204658,0,0,0,0,0,0,0
ENSG00000204659,10,6,4,0,1,12,0
ENSG00000204661,0,0,0,0,0,0,0
ENSG00000204662,0,0,0,0,0,0,0
ENSG00000204663,0,0,0,0,0,0,0
ENSG00000204666,0,0,0,8,0,0,1
ENSG00000204669,0,0,0,0,0,0,0
ENSG00000204670,0,0,0,0,0,0,0
ENSG00000204671,0,0,0,0,0,0,0
ENSG00000204673,107,13,14,62,74,40,44
ENSG00000204677,0,22,7,0,11,0,4
ENSG00000204681,1074,718,606,642,703,617,451
ENSG00000204682,0,0,0,0,0,0,0
ENSG00000204684,0,0,0,0,0,0,0
ENSG00000204685,275,110,85,118,154,63,83
ENSG00000204687,0,0,0,0,0,0,0
ENSG00000204688,0,0,0,0,0,0,0
ENSG00000204694,1,0,0,0,0,0,0
ENSG00000204695,0,0,0,0,0,0,0
ENSG00000204697,0,0,0,0,0,0,0
ENSG00000204699,0,0,0,0,0,0,0
ENSG00000204700,0,0,0,0,0,0,0
ENSG00000204701,0,0,0,0,0,0,0
ENSG00000204702,0,0,0,0,0,0,0
ENSG00000204703,0,0,0,0,0,0,0
ENSG00000204704,0,0,0,0,0,0,0
ENSG00000204705,0,0,0,0,0,0,0
ENSG00000204706,0,0,0,0,0,0,0
ENSG00000204709,0,0,0,0,0,0,0
ENSG00000204710,0,0,1,0,0,0,0
ENSG00000204711,0,0,0,0,0,0,0
ENSG00000204713,2022,1423,1442,1485,1797,1224,1362
ENSG00000204718,0,0,0,0,0,0,0
ENSG00000204740,0,0,0,0,0,0,0
ENSG00000204745,27,10,18,21,18,21,12
ENSG00000204754,0,0,0,0,0,0,0
ENSG00000204758,14,3,17,27,33,15,15
ENSG00000204764,0,0,0,0,1,0,1
ENSG00000204767,216,294,94,13,129,56,58
ENSG00000204776,0,0,0,0,3,0,0
ENSG00000204778,30,17,20,8,27,9,7
ENSG00000204779,0,0,0,0,0,0,0
ENSG00000204780,0,0,0,0,0,0,0
ENSG00000204787,0,0,0,0,0,0,0
ENSG00000204789,31,16,11,5,0,75,15
ENSG00000204790,0,0,0,0,0,0,0
ENSG00000204791,6,0,0,5,0,0,0
ENSG00000204792,146,140,112,99,234,218,244
ENSG00000204801,0,0,0,0,0,0,0
ENSG00000204802,0,0,0,0,0,0,0
ENSG00000204814,0,0,0,0,0,0,0
ENSG00000204815,11,5,16,41,16,21,1
ENSG00000204816,0,0,0,0,0,0,0
ENSG00000204818,0,0,0,0,0,0,0
ENSG00000204822,0,0,0,0,0,0,0
ENSG00000204832,0,0,0,0,0,0,0
ENSG00000204837,0,0,2,0,3,0,0
ENSG00000204839,12,7,0,33,4,0,1
ENSG00000204842,1212,383,339,738,1121,1054,912
ENSG00000204843,1944,2013,1213,1303,1730,1455,1664
ENSG00000204849,0,0,0,0,0,0,0
ENSG00000204850,0,0,1,0,0,0,0
ENSG00000204851,0,0,0,0,0,0,0
ENSG00000204852,671,695,596,343,583,558,534
ENSG00000204856,230,140,140,150,170,175,145
ENSG00000204859,590,497,430,321,700,401,472
ENSG00000204860,1,0,0,0,0,0,0
ENSG00000204866,0,0,0,0,0,0,0
ENSG00000204869,0,0,0,14,0,0,0
ENSG00000204872,0,0,0,0,0,0,0
ENSG00000204873,0,0,0,0,0,0,0
ENSG00000204876,0,0,0,0,0,0,0
ENSG00000204880,0,0,0,0,0,0,0
ENSG00000204882,0,9,0,0,0,0,7
ENSG00000204887,0,0,0,0,0,0,0
ENSG00000204889,0,0,0,0,0,0,0
ENSG00000204894,3,0,1,0,1,2,0
ENSG00000204897,0,0,0,0,0,0,0
ENSG00000204899,342,344,279,433,296,275,355
ENSG00000204904,3,3,0,0,1,0,1
ENSG00000204909,0,0,0,1,1,0,0
ENSG00000204913,0,0,0,0,1,0,0
ENSG00000204915,0,0,0,0,0,0,0
ENSG00000204918,0,0,0,0,0,0,0
ENSG00000204919,0,0,0,0,0,0,0
ENSG00000204920,123,42,51,56,48,160,64
ENSG00000204922,27,30,14,8,15,21,18
ENSG00000204923,95,71,20,75,33,77,33
ENSG00000204928,0,0,0,0,0,0,0
ENSG00000204929,0,0,0,0,0,0,0
ENSG00000204930,0,0,0,0,0,6,0
ENSG00000204933,0,0,0,0,0,0,0
ENSG00000204934,29,0,9,0,20,38,9
ENSG00000204936,0,4,0,10,0,0,0
ENSG00000204941,0,0,0,0,0,0,0
ENSG00000204946,302,273,105,279,288,701,134
ENSG00000204947,48,34,6,34,79,64,34
ENSG00000204949,0,0,0,0,1,0,4
ENSG00000204950,0,0,0,0,0,0,0
ENSG00000204952,0,0,0,0,0,0,0
ENSG00000204954,85,40,36,81,38,48,54
ENSG00000204956,28,0,3,0,0,0,2
ENSG00000204959,18,3,5,8,11,9,2
ENSG00000204960,0,0,0,0,0,0,0
ENSG00000204961,0,0,0,0,0,0,0
ENSG00000204962,0,0,0,0,0,0,0
ENSG00000204963,0,0,0,0,0,0,0
ENSG00000204965,0,0,0,0,0,0,0
ENSG00000204967,9,0,0,0,0,0,0
ENSG00000204969,0,0,0,0,0,0,0
ENSG00000204970,0,0,0,0,0,0,0
ENSG00000204971,0,0,0,0,0,0,0
ENSG00000204977,552,755,544,646,787,721,650
ENSG00000204978,0,0,0,0,0,0,0
ENSG00000204979,0,0,0,0,0,0,0
ENSG00000204982,0,0,0,0,0,0,0
ENSG00000204983,4,6,0,0,0,44,13
ENSG00000204989,0,0,0,0,0,0,0
ENSG00000204990,0,0,0,0,0,0,0
ENSG00000204991,1,8,12,2,11,3,11
ENSG00000204993,0,0,0,0,0,0,0
ENSG00000205002,0,0,0,0,0,0,0
ENSG00000205015,0,0,0,0,0,0,0
ENSG00000205018,4,2,0,14,3,7,5
ENSG00000205022,0,6,11,0,15,9,4
ENSG00000205025,0,0,0,0,0,0,0
ENSG00000205029,0,0,0,0,0,0,0
ENSG00000205030,0,0,0,0,0,0,0
ENSG00000205035,0,0,0,0,0,0,0
ENSG00000205037,0,0,0,0,0,0,0
ENSG00000205038,250,157,165,134,164,115,110
ENSG00000205041,21,37,40,5,40,22,13
ENSG00000205044,0,0,0,0,0,0,0
ENSG00000205045,34,56,62,93,91,46,19
ENSG00000205054,0,0,0,0,0,0,0
ENSG00000205056,580,354,334,259,617,292,565
ENSG00000205057,0,0,0,0,5,0,0
ENSG00000205060,939,330,388,354,559,571,473
ENSG00000205076,0,0,0,0,0,0,0
ENSG00000205078,21,3,3,0,11,0,0
ENSG00000205084,35,33,46,84,73,39,28
ENSG00000205085,9,1,16,1,8,0,11
ENSG00000205086,2,0,0,0,2,0,0
ENSG00000205089,26,2,14,4,0,0,0
ENSG00000205090,0,0,0,0,0,0,0
ENSG00000205097,0,0,0,0,0,0,0
ENSG00000205100,0,0,0,0,0,0,0
ENSG00000205105,0,0,0,0,0,0,0
ENSG00000205106,0,0,0,0,0,0,0
ENSG00000205108,0,0,0,0,0,0,0
ENSG00000205111,7,0,0,0,0,0,3
ENSG00000205116,0,0,0,9,1,0,1
ENSG00000205126,0,0,0,0,0,0,0
ENSG00000205129,0,1,3,5,6,15,5
ENSG00000205133,19,0,57,70,106,94,90
ENSG00000205138,217,156,231,188,177,282,203
ENSG00000205143,0,0,0,0,0,0,0
ENSG00000205155,33,9,37,15,19,17,14
ENSG00000205174,0,0,0,0,0,0,0
ENSG00000205176,0,0,0,0,0,0,0
ENSG00000205177,0,0,0,0,0,0,0
ENSG00000205181,1,0,0,0,2,31,8
ENSG00000205184,0,0,0,0,0,0,0
ENSG00000205186,0,0,0,0,0,0,0
ENSG00000205189,331,247,34,400,175,208,72
ENSG00000205208,298,111,146,51,126,64,86
ENSG00000205209,14,1,15,7,1,4,10
ENSG00000205212,0,0,0,0,0,0,0
ENSG00000205213,3,50,42,45,38,76,16
ENSG00000205215,0,0,0,0,0,0,0
ENSG00000205220,211,167,245,176,131,177,147
ENSG00000205221,0,0,0,0,0,0,0
ENSG00000205231,0,0,0,0,0,0,0
ENSG00000205236,0,0,0,0,0,0,0
ENSG00000205238,43,40,6,29,41,75,10
ENSG00000205240,0,0,0,0,0,0,0
ENSG00000205250,725,282,305,379,467,434,333
ENSG00000205266,0,0,0,0,0,0,0
ENSG00000205267,0,0,0,0,0,0,1
ENSG00000205268,1886,1271,905,737,1492,1129,810
ENSG00000205269,100,77,77,105,23,76,56
ENSG00000205274,0,0,0,0,0,0,0
ENSG00000205277,0,0,0,0,0,0,0
ENSG00000205279,0,0,0,0,0,0,0
ENSG00000205293,0,0,0,0,0,1,0
ENSG00000205300,0,0,0,0,0,0,0
ENSG00000205301,0,0,0,0,0,0,0
ENSG00000205302,9932,8135,6949,6825,9638,10021,7362
ENSG00000205307,0,0,0,0,0,0,0
ENSG00000205309,15,0,0,0,12,2,4
ENSG00000205312,0,0,0,0,0,0,0
ENSG00000205318,0,0,2,0,0,0,0
ENSG00000205323,123,12,17,123,20,66,24
ENSG00000205325,0,0,0,0,0,0,0
ENSG00000205327,0,0,0,0,0,0,0
ENSG00000205328,0,0,0,0,0,0,0
ENSG00000205329,0,0,0,0,0,0,0
ENSG00000205330,0,0,0,0,0,0,0
ENSG00000205331,0,0,0,0,0,0,0
ENSG00000205333,0,0,0,0,0,0,0
ENSG00000205334,0,0,0,0,0,0,0
ENSG00000205336,52,86,226,24,12,28,252
ENSG00000205339,1304,957,362,922,1219,578,463
ENSG00000205352,653,699,965,761,563,1165,822
ENSG00000205356,1356,925,1159,822,850,710,978
ENSG00000205358,0,0,0,0,0,0,0
ENSG00000205359,0,0,0,0,0,0,0
ENSG00000205360,0,0,0,0,0,0,0
ENSG00000205361,0,0,0,0,0,0,0
ENSG00000205362,0,0,0,0,0,0,0
ENSG00000205363,0,0,0,0,0,0,0
ENSG00000205364,0,0,0,0,0,0,0
ENSG00000205396,0,0,0,0,0,0,0
ENSG00000205403,0,0,0,0,0,0,0
ENSG00000205409,0,0,0,0,0,0,0
ENSG00000205412,0,0,0,0,0,0,0
ENSG00000205413,1632,1322,614,1473,1579,954,805
ENSG00000205414,0,0,0,0,0,0,0
ENSG00000205420,0,0,0,0,0,0,0
ENSG00000205423,485,421,347,484,302,347,317
ENSG00000205424,0,0,0,0,0,0,0
ENSG00000205426,0,1,0,0,2,10,0
ENSG00000205433,0,0,0,0,0,0,0
ENSG00000205436,0,0,0,0,0,0,0
ENSG00000205439,0,0,0,0,0,0,0
ENSG00000205442,0,0,0,0,0,0,0
ENSG00000205444,0,0,0,0,0,0,0
ENSG00000205445,0,0,0,0,0,0,0
ENSG00000205449,0,0,0,0,0,0,0
ENSG00000205452,0,0,0,0,0,0,0
ENSG00000205456,3,0,0,0,0,0,0
ENSG00000205457,0,0,0,0,0,0,0
ENSG00000205464,11,0,0,5,12,0,16
ENSG00000205476,33,6,7,8,52,72,40
ENSG00000205482,31,17,28,21,22,51,28
ENSG00000205485,13,9,7,3,11,22,13
ENSG00000205488,0,0,0,0,0,0,0
ENSG00000205494,0,0,0,0,0,0,0
ENSG00000205495,0,0,0,0,0,0,0
ENSG00000205496,0,0,0,0,0,0,0
ENSG00000205497,0,0,0,0,0,0,0
ENSG00000205500,7,4,6,0,0,2,0
ENSG00000205502,0,0,0,0,0,0,0
ENSG00000205517,18,80,18,12,0,45,0
ENSG00000205531,2018,1705,1114,1574,1675,1111,1091
ENSG00000205534,79,36,14,30,47,22,21
ENSG00000205537,0,0,1,0,0,0,0
ENSG00000205542,5993,2351,5231,4147,5464,4222,3624
ENSG00000205544,4,2,1,1,5,1,2
ENSG00000205549,0,0,0,0,0,0,0
ENSG00000205559,84,53,45,26,58,67,58
ENSG00000205560,16,5,6,8,6,6,6
ENSG00000205562,0,0,0,0,0,0,0
ENSG00000205571,74,64,68,82,45,69,67
ENSG00000205572,9,11,11,15,8,3,5
ENSG00000205578,1,4,4,0,0,1,3
ENSG00000205579,0,0,1,0,0,0,0
ENSG00000205581,3051,3201,2387,3252,2062,3112,2235
ENSG00000205583,16,25,9,13,11,24,11
ENSG00000205584,3,2,0,0,4,0,0
ENSG00000205592,0,0,0,0,0,0,0
ENSG00000205593,78,66,31,7,19,40,51
ENSG00000205596,1,0,0,0,0,0,0
ENSG00000205609,4,1,1,1,2,1,4
ENSG00000205611,9,24,2,0,7,28,1
ENSG00000205622,0,0,0,0,0,0,0
ENSG00000205625,0,0,0,0,0,0,0
ENSG00000205628,4,0,0,0,2,0,0
ENSG00000205629,379,348,300,222,249,360,291
ENSG00000205632,0,0,0,0,0,0,0
ENSG00000205634,0,0,0,0,0,0,0
ENSG00000205636,0,0,0,0,0,0,0
ENSG00000205639,3,8,5,20,27,53,0
ENSG00000205642,0,0,0,0,0,0,0
ENSG00000205643,222,148,137,221,140,287,180
ENSG00000205644,5,0,2,2,8,6,0
ENSG00000205649,0,0,0,0,0,0,0
ENSG00000205653,0,0,0,0,0,0,0
ENSG00000205659,410,395,343,256,332,307,333
ENSG00000205667,0,0,0,0,0,0,0
ENSG00000205669,0,0,0,0,0,0,0
ENSG00000205670,0,0,0,0,1,0,0
ENSG00000205678,0,0,0,0,0,0,0
ENSG00000205682,0,0,0,0,0,0,0
ENSG00000205683,382,241,246,71,133,102,135
ENSG00000205693,0,0,0,0,0,0,2
ENSG00000205695,0,8,0,15,0,0,7
ENSG00000205696,0,0,1,0,0,0,0
ENSG00000205702,0,21,18,11,11,14,24
ENSG00000205704,0,0,0,0,0,0,0
ENSG00000205707,372,312,245,403,216,245,225
ENSG00000205710,6,1,0,0,7,0,1
ENSG00000205716,0,0,0,0,0,0,0
ENSG00000205718,0,0,0,0,0,0,0
ENSG00000205726,5,2,0,64,18,0,11
ENSG00000205730,28,20,30,40,1,6,3
ENSG00000205740,0,0,0,0,0,0,2
ENSG00000205744,1877,1714,1404,1392,1898,1857,1532
ENSG00000205745,0,0,0,0,0,0,0
ENSG00000205746,6,11,4,2,6,0,2
ENSG00000205754,0,0,0,0,0,0,0
ENSG00000205755,0,0,0,1,0,0,0
ENSG00000205758,700,689,559,402,417,835,784
ENSG00000205763,7,7,17,9,5,2,17
ENSG00000205765,823,462,430,699,796,593,417
ENSG00000205767,0,0,0,0,0,0,0
ENSG00000205771,33,44,19,10,28,30,29
ENSG00000205777,0,0,0,0,0,0,0
ENSG00000205784,45,31,19,35,60,99,69
ENSG00000205786,0,0,0,0,0,0,0
ENSG00000205790,5,10,0,0,7,0,3
ENSG00000205791,0,7,6,2,15,0,2
ENSG00000205794,8,0,0,0,0,0,0
ENSG00000205795,0,0,0,0,0,0,0
ENSG00000205808,214,141,104,57,128,79,73
ENSG00000205809,5,1,21,0,4,5,17
ENSG00000205810,1,0,0,0,1,0,0
ENSG00000205822,0,0,0,0,0,0,1
ENSG00000205830,0,0,0,0,0,0,0
ENSG00000205832,0,0,0,2,4,0,5
ENSG00000205835,0,0,0,0,0,0,0
ENSG00000205837,0,0,0,0,0,0,0
ENSG00000205838,0,12,0,0,0,10,0
ENSG00000205846,6,10,7,28,2,0,11
ENSG00000205847,0,0,0,0,0,0,0
ENSG00000205853,3,7,1,3,0,40,1
ENSG00000205856,0,0,0,0,0,0,0
ENSG00000205857,0,0,0,0,0,0,0
ENSG00000205858,0,0,0,0,0,0,0
ENSG00000205861,0,0,0,0,0,0,0
ENSG00000205863,0,0,0,0,0,0,0
ENSG00000205864,0,0,0,0,0,0,0
ENSG00000205865,0,0,0,0,0,0,0
ENSG00000205866,0,0,0,0,0,0,0
ENSG00000205867,0,0,0,0,0,0,0
ENSG00000205869,0,4,0,0,0,0,0
ENSG00000205871,29,22,58,37,27,42,61
ENSG00000205879,0,0,0,0,0,0,0
ENSG00000205882,0,0,0,0,0,0,0
ENSG00000205883,0,0,0,0,0,0,0
ENSG00000205884,0,0,0,0,0,0,0
ENSG00000205885,212,214,76,193,172,78,69
ENSG00000205890,0,0,0,0,0,0,0
ENSG00000205897,0,0,0,0,0,0,0
ENSG00000205898,0,0,0,0,0,0,0
ENSG00000205899,0,0,0,0,0,0,0
ENSG00000205903,108,43,51,82,59,25,16
ENSG00000205913,1,1,0,8,27,4,9
ENSG00000205916,0,0,0,0,0,0,0
ENSG00000205918,6,9,0,2,20,4,7
ENSG00000205922,0,0,0,0,0,0,0
ENSG00000205923,0,0,0,0,0,0,0
ENSG00000205927,0,0,0,0,0,0,0
ENSG00000205929,9,9,2,0,1,0,0
ENSG00000205930,94,86,63,52,65,60,49
ENSG00000205936,0,0,0,0,0,0,0
ENSG00000205937,2813,2197,1989,2264,2085,2180,2018
ENSG00000205940,6,7,1,3,12,4,1
ENSG00000205944,0,0,0,0,0,0,0
ENSG00000205946,0,0,0,0,0,0,0
ENSG00000205955,64,7,1,0,21,0,0
ENSG00000205959,2,0,2,1,8,0,4
ENSG00000205971,0,0,0,0,0,0,0
ENSG00000205976,0,0,0,0,1,0,0
ENSG00000205978,0,0,0,0,0,0,0
ENSG00000205981,372,286,340,262,224,384,407
ENSG00000205989,0,0,0,0,0,0,0
ENSG00000206013,3,0,1,0,0,0,0
ENSG00000206014,0,0,0,0,0,0,0
ENSG00000206026,0,0,0,0,0,0,0
ENSG00000206028,0,0,3,0,0,0,0
ENSG00000206034,0,0,0,0,0,0,0
ENSG00000206042,0,0,0,0,0,0,0
ENSG00000206043,0,0,0,0,0,0,0
ENSG00000206047,0,0,0,0,0,0,0
ENSG00000206052,0,3,0,0,3,0,0
ENSG00000206053,315,455,239,352,680,317,255
ENSG00000206062,0,0,0,0,0,0,0
ENSG00000206066,0,0,0,0,0,0,0
ENSG00000206069,0,0,0,0,3,0,0
ENSG00000206072,0,0,0,0,0,0,0
ENSG00000206073,0,0,0,0,0,0,0
ENSG00000206075,0,0,0,0,0,0,0
ENSG00000206077,2,1,0,0,0,0,0
ENSG00000206090,0,0,0,0,0,0,0
ENSG00000206102,0,0,0,0,0,0,0
ENSG00000206104,0,0,0,0,0,0,0
ENSG00000206105,0,0,0,0,0,0,0
ENSG00000206106,0,0,0,0,0,0,0
ENSG00000206107,0,0,0,0,0,0,0
ENSG00000206113,0,4,0,0,0,0,1
ENSG00000206120,0,0,0,0,0,0,0
ENSG00000206127,0,0,0,0,0,0,0
ENSG00000206129,0,0,0,0,0,10,0
ENSG00000206140,4,0,3,1,0,2,3
ENSG00000206142,0,0,0,0,0,0,0
ENSG00000206144,0,0,0,0,0,0,0
ENSG00000206145,0,1,0,0,0,0,0
ENSG00000206147,1,0,0,0,0,1,0
ENSG00000206149,137,73,79,123,133,83,86
ENSG00000206150,0,0,0,0,0,0,0
ENSG00000206159,0,0,0,0,0,0,0
ENSG00000206168,0,0,0,0,0,0,0
ENSG00000206172,58,21,5,47,63,22,11
ENSG00000206177,7,0,0,3,2,2,3
ENSG00000206178,0,0,0,0,0,0,0
ENSG00000206181,0,0,0,0,0,0,0
ENSG00000206187,0,0,0,0,0,0,0
ENSG00000206190,0,1,106,4,1,0,6
ENSG00000206192,0,0,0,0,0,1,1
ENSG00000206195,2,32,0,7,0,6,0
ENSG00000206199,2,0,2,0,3,0,0
ENSG00000206203,0,0,0,0,0,0,0
ENSG00000206228,2,2,3,2,4,4,1
ENSG00000206249,0,0,0,0,0,0,0
ENSG00000206260,0,0,0,0,0,0,0
ENSG00000206262,0,0,0,0,0,0,0
ENSG00000206337,3089,2238,2148,2173,2200,1292,1841
ENSG00000206341,703,652,1028,778,538,433,962
ENSG00000206344,1,7,1,27,0,1,11
ENSG00000206356,0,0,0,0,0,1,0
ENSG00000206384,13,1,0,16,2,26,0
ENSG00000206417,1,0,0,0,0,0,0
ENSG00000206418,44,24,83,20,24,31,39
ENSG00000206422,0,0,0,0,0,0,0
ENSG00000206432,0,0,0,0,0,0,0
ENSG00000206448,0,8,0,2,3,0,7
ENSG00000206474,0,0,0,0,0,0,0
ENSG00000206503,11754,10933,9542,11148,7844,6124,9038
ENSG00000206527,452,374,188,360,456,261,203
ENSG00000206530,101,56,115,93,157,89,80
ENSG00000206531,0,0,0,0,0,0,0
ENSG00000206535,18,0,7,32,0,30,5
ENSG00000206536,0,0,0,0,0,0,0
ENSG00000206538,0,0,0,0,0,0,0
ENSG00000206549,0,0,0,0,0,0,0
ENSG00000206552,0,0,0,0,0,0,0
ENSG00000206557,0,0,0,0,0,0,1
ENSG00000206559,4,12,2,7,18,9,5
ENSG00000206560,642,469,405,278,416,263,214
ENSG00000206561,63,52,28,45,24,37,29
ENSG00000206562,260,187,175,208,243,170,201
ENSG00000206567,15,54,20,8,22,0,26
ENSG00000206573,320,374,295,298,308,372,339
ENSG00000206579,0,0,0,0,0,0,0
ENSG00000206582,9,6,2,7,11,3,6
ENSG00000206583,0,0,0,0,0,0,0
ENSG00000206585,4,0,0,0,0,0,0
ENSG00000206587,0,0,0,0,0,0,0
ENSG00000206588,0,0,0,0,0,0,0
ENSG00000206589,1,0,0,0,0,0,0
ENSG00000206590,0,0,0,0,0,0,0
ENSG00000206592,0,3,1,0,0,0,0
ENSG00000206593,0,0,0,0,0,0,0
ENSG00000206595,0,2,0,0,0,0,1
ENSG00000206596,0,0,0,0,0,0,0
ENSG00000206597,0,0,0,0,0,0,0
ENSG00000206598,0,0,0,0,0,0,0
ENSG00000206599,0,0,0,0,0,0,0
ENSG00000206600,0,0,0,0,0,0,0
ENSG00000206601,10,0,1,5,6,6,3
ENSG00000206602,0,0,0,0,0,0,0
ENSG00000206603,0,2,0,0,0,4,0
ENSG00000206604,1,4,0,0,1,0,4
ENSG00000206605,29,16,8,19,13,14,14
ENSG00000206606,0,0,0,0,0,0,0
ENSG00000206609,0,0,0,0,0,0,2
ENSG00000206611,0,0,0,0,0,0,0
ENSG00000206612,0,0,0,0,0,0,0
ENSG00000206613,0,0,0,0,0,0,0
ENSG00000206614,0,0,0,0,0,0,0
ENSG00000206615,0,0,0,0,0,0,0
ENSG00000206616,0,0,0,0,0,0,0
ENSG00000206617,2,0,0,1,0,0,0
ENSG00000206618,0,0,0,0,0,0,0
ENSG00000206620,0,0,0,0,0,0,0
ENSG00000206621,0,0,0,0,0,0,0
ENSG00000206622,0,0,0,3,0,0,0
ENSG00000206623,0,4,1,0,1,0,1
ENSG00000206624,0,0,0,0,0,0,0
ENSG00000206625,0,0,0,0,0,1,0
ENSG00000206627,0,0,0,0,1,0,0
ENSG00000206629,1,0,0,6,0,1,0
ENSG00000206630,0,0,0,0,0,0,0
ENSG00000206631,0,0,0,0,0,0,0
ENSG00000206633,1,3,4,5,21,25,12
ENSG00000206634,3,4,0,1,4,7,2
ENSG00000206635,0,0,0,0,0,0,0
ENSG00000206636,0,0,0,0,0,0,0
ENSG00000206637,0,0,0,0,0,0,0
ENSG00000206638,15,4,2,0,10,2,3
ENSG00000206639,0,0,0,0,0,0,0
ENSG00000206640,3,0,0,0,0,0,0
ENSG00000206641,0,0,0,0,0,0,0
ENSG00000206644,0,0,0,0,0,0,1
ENSG00000206645,0,0,0,0,0,0,0
ENSG00000206646,0,0,0,0,0,0,0
ENSG00000206647,0,0,0,0,0,0,0
ENSG00000206649,0,0,0,0,0,0,0
ENSG00000206650,70,55,47,38,37,36,56
ENSG00000206651,4,1,2,0,5,2,2
ENSG00000206652,1,0,0,3,0,0,1
ENSG00000206654,5,0,0,0,6,0,0
ENSG00000206656,2,0,0,0,0,0,0
ENSG00000206658,0,0,0,0,0,0,0
ENSG00000206659,2,0,0,1,1,1,0
ENSG00000206660,1,0,0,0,0,0,0
ENSG00000206661,0,0,0,0,0,0,0
ENSG00000206662,0,0,0,0,0,0,0
ENSG00000206663,1,0,0,0,0,1,0
ENSG00000206665,0,0,0,0,0,0,0
ENSG00000206669,0,0,0,7,0,0,0
ENSG00000206671,0,0,0,0,0,0,0
